title,description,source,access,date,topic,division,lang,issue,tags
Spatial Networks in Trade Credit Between Geographically Close Industrial Small and Medium Enterprises in an Urban Environment,"Using enterprise-level data from a survey of small and medium enterprises in Madrid, the impact of a local network on improving trade credit availability was shown, especially with micro-sized companies. ",https://www.tandfonline.com/doi/abs/10.1111/gere.12361,,15-Feb-19,MMWTD,"Mining, Manufacturing, and Wholesale Trade",en,20-Nov,"cat, dog, horse"
Exploring the SAR Tools Landscape in 2018,A review of open and proprietary software for SAR data processing and visualizations.,https://towardsdatascience.com/exploring-the-sar-tools-landscape-in-2018-925aec6fe7c3,,21-Jan-20,ISTD,"Investment, Science and Technology",en,20-Nov,horse
"SAR 201: An Introduction to Synthetic Aperture Radar, Part 2","Introduction to SAR data processing, analysis, and deep learning.",https://medium.com/the-downlinq/sar-201-an-introduction-to-synthetic-aperture-radar-part-2-895beb0b4c0a,,13-Dec-19,ISTD,"Investment, Science and Technology",en,20-Nov,horse
The geography of intercity technology transfer networks in China,Analyzing the spatial structure of inter-city patent transfers between 2008-2015 shows intensification of technology and knowledge transferral. ,https://www.tandfonline.com/doi/full/10.1080/21681376.2019.1627905,,03-Jun-19,ISTD,"Investment, Science and Technology",en,20-Nov,"cat, dog, horse"
A global analysis of cities’ geosocial temporal signatures for points of interest hours of operation,"A study into the influence of cultural and geophysical factors on business hours of operation, through the use of Facebook data for retail and restaurant locations around the globe. ",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1615069,,04-Jun-19,RSID,Retail and Service Industries,en,20-Nov,"cat, horse"
Economic Impacts of COVID-19: A Menacing New Curve Rises,"Using spatial analysis, regions in the United States of America were assessed for areas that would be most affected economically by Covid-19 and where relief efforts should be focused.",https://medium.com/urbanfootprint/economic-impacts-of-covid-19-a-menacing-new-curve-rises-84d6c63f3c75,,09-Apr-20,RSID,Retail and Service Industries,en,20-Nov,"cat, dog, horse"
Real-time GIS for smart cities,"An overview of potential technology data sources used by smart cities, the challenges faced when using this data, and examples on the many ways smart cities can improve their functionality using this data.",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1673397 ,,23-Sep-19,TTD,Tourism & Transportation,en,20-Nov,cat
"OGC adopts Extension to its Moving Features Standard, enabling JSON Encoding","In June, 2020, the OGC extended its moving features standard to allow the movements of geographic features (e.g. cars, airplanes, pedestrians, etc) to be encoded using JSON instead of XML or CSV. ",https://www.ogc.org/pressroom/pressreleases/3217,,02-Jun-20,TTD,Tourism & Transportation,en,20-Nov,"cat, dog, horse"
Airbnb and crime in Barcelona (Spain): testing the relationship using a geographically weighted regression,"Using multiple spatial models, the relation between Airbnb density and lodging types were compared with crimes against persons and properties in the tourist city of Barcelona, Spain.",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1831603,,16-Jun-20,TTD,Tourism & Transportation,en,20-Nov,horse
"Assessing the Influence of Tourism-Driven Activities on Environmental Variables on Hainan Island, China","An examination of the environmental effects of the booming tourism industry from 2000 to 2019 on Hainan Island, China, using remotely sensed MODIS imagery, land-cover data, and POI data. ",https://www.mdpi.com/2072-4292/12/17/2813,,04-Jun-20,TTD,Tourism & Transportation,en,20-Nov,"cat, dog, horse"
Towards knowledge-based geovisualisation using Semantic Web technologies: a knowledge representation approach coupling ontologies and rules,Huang and Harrie (2020) propose an alternative knowledge-based approach to semantically link geovisualizations.,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2019.1604835?needAccess=true,,15-Apr-19,TECH,Technical Resources,en,20-Nov,"cat, horse"
Top 4 trends likely to escalate demand for LiDAR in Mapping Solutions worldwide,"Overview of growing demand for LiDAR technology for Geomatics, such as for mining and business applications.",https://www.geospatialworld.net/blogs/top-4-trends-likely-to-escalate-demand-for-lidar-in-mapping-solutions-worldwide/,,22-Oct-20,TECH,Technical Resources,en,20-Nov,"cat, dog"
Unraveled! The H3 Geospatial Indexing System,"H3, developed by Uber, is a global indexing system that uses a hexagonal grid system to manage and visualize various scales of observations.",https://www.geospatialworld.net/article/unraveled-the-h3-geospatial-indexing-system/,,22-Oct-20,TECH,Technical Resources,en,20-Nov,horse
Talking PostGIS on Podcasts,Interested in PostGIS? Check out some podcasts with Paul Ramsey (a PostGIS developer) on the use of PostGIS for managing and visualizing geographic data onto web maps!,http://blog.cleverelephant.ca/2020/10/podcasts.html?utm_source=dlvr.it&utm_medium=twitter,,12-Oct-20,TECH,Technical Resources,en,20-Nov,"cat, dog, horse"
H2O Geomatics : Utilisation de la technologie de télédétection pour améliorer les rendements agricoles à l’aide de NXT Farm,"L’application Web NXT Farm utilise les données de satellites en orbite pour informer les utilisateurs de l’état de santé des cultures et fournir des plans de fertilisation à taux variable. L’application NXT Farm comprend l’IVDN ainsi que des algorithmes personnalisés qui permettent de paramétrer les concentrations d’azote dans les cultures, le stress hydrique et l’humidité du sol. ",https://www.cengn.ca/h2o-geomatics-remote-sensing-to-improve-yields/ ,,16-Mar-20,AGRI,Agriculture,fr,20-Nov,"cat, dog"
"Classification des cultures à la mi-saison au moyen de la polarisation double, compacte et complète en prévision de la mission de la Constellation RADARSAT (MCR)",Comparaison de la précision de la classification des cultures pour diverses données de radar à synthèse d’ouverture (RSO) polarisées du Manitoba à l’aide d’algorithmes des forêts aléatoires fondés sur les pixels et sur les objets.,https://www.mdpi.com/2072-4292/11/13/1582/htm,,19-May-19,AGRI,Agriculture,fr,20-Nov,"cat, dog, horse"
Cartographier chaque arbre sur terre grâce aux réseaux neuronaux convolutifs?,"Progrès dans l’utilisation des RNC pour détecter les arbres. Étude de cas en Afrique occidentale. Bien que la géographie soit nettement différente de celle du Canada, des techniques générales peuvent tout de même être appliquées.",https://cleantechnica.com/2020/10/20/convolutional-neural-networks-may-allow-mapping-of-every-tree-on-earth/,,20-Oct-20,EESD,Environnement et Énergie,fr,20-Nov,"cat, dog, horse"
iHabiMap,Projet irlandais de surveillance environnementale à grande échelle faisant intervenir plusieurs acteurs qui fait appel à des véhicules aériens sans pilote et des techniques d’apprentissage automatique.,https://jcresearch.wixsite.com/ihabimap,,01-Jan-20,EESD,Environnement et Énergie,fr,20-Nov,"cat, dog, horse"
"Science avancée : le dépistage de l’Alzheimer, des drones qui cartographient les forêts, l’apprentissage automatique dans l’espace, et plus ",TechCrunch fait un survol des progrès dans l’utilisation des véhicules aériens sans pilote et des données spatiales d’observation de la Terre pour mesurer des phénomènes de surface.,https://techcrunch.com/2020/10/23/deep-science-alzheimers-screening-forest-mapping-drones-machine-learning-in-space-more/,,23-Oct-20,EESD,Environnement et Énergie,fr,20-Nov,"cat, dog, horse"
Comment les sociétés minières peuvent tirer parti du raffinage des données géospatiales et satellitaires,"Présentation de la plateforme Descartes Lab, qui permet d’accéder à des données spatiales d’observation de la Terre et de les utiliser pour permettre des avancées dans le secteur minier.",https://www.mining.com/how-mining-companies-can-leverage-geospatial-satellite-data-refinery/,,04-Oct-20,MMWTD,"Activité minière, Fabrication et Commerce de gros",fr,20-Nov,"cat, dog"
La télédétection et la visualisation facilitent l’accès virtuel aux données de projet essentielles,"Par suite des restrictions mises en place en raison de la COVID-19, la télédétection est rapidement devenue une solution de rechange possible aux visites sur place et le balayage laser haute définition a été adopté pour détecter les anomalies.",https://www.jwnenergy.com/article/2020/5/20/remote-sensing-and-visualization-making-it-easier-/,,20-May-20,MMWTD,"Activité minière, Fabrication et Commerce de gros",fr,20-Nov,"cat, dog, horse"
Technologie d’exploration de la qualité du charbon fondée sur un apprentissage ELM multicouche incrémental et des images de télédétection,"Intégrant les données spectrales à l’imagerie satellite, l’algorithme IM-ELM a été proposé en vue d’améliorer les capacités de télédétection et de classification des images de charbon et de gangue.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8636547,,06-Feb-19,MMWTD,"Activité minière, Fabrication et Commerce de gros",fr,20-Nov,horse
"Agglomération et regroupement spatial de l'industrie manufacturière : Témoignages de la province de Hebei, Chine","En utilisant des techniques telles que l'autocorrélation spatiale locale et un modèle de quotient de localisation industrielle, les chercheurs ont identifié les grappes spatiales de diverses régions d'industrie manufacturière. ",https://link.springer.com/article/10.1007/s10668-019-00328-1,,15-Feb-19,MMWTD,"Activité minière, Fabrication et Commerce de gros",fr,20-Nov,"cat, dog, horse"
"Proximité géographique, commerce et croissance économique : une approche d'économétrie spatiale","Un modèle spatial mesurant les flux commerciaux bilatéraux et la distance géographique permet d'étudier les relations spatiales entre un pays et ses partenaires commerciaux, ainsi que la croissance des pays voisins.",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1714727,,07-Jan-20,MMWTD,"Activité minière, Fabrication et Commerce de gros",fr,20-Nov,"cat, dog"
Les réseaux spatiaux dans le crédit commercial entre des petites et moyennes entreprises industrielles géographiquement proches dans un environnement urbain,"En utilisant des données au niveau de l'entreprise provenant d'une enquête sur les petites et moyennes entreprises à Madrid, l'impact d'un réseau local sur l'amélioration de la disponibilité des crédits commerciaux a été démontré, en particulier avec les microentreprises.",https://www.tandfonline.com/doi/abs/10.1111/gere.12361,,13-Dec-20,MMWTD,"Activité minière, Fabrication et Commerce de gros",fr,20-Nov,"cat, dog, horse"
Découverte des outils pour les données RSO en 2018,Un examen des logiciels ouverts et propriétaires permettant le traitement et la visualisation des données RSO.,https://towardsdatascience.com/exploring-the-sar-tools-landscape-in-2018-925aec6fe7c3,,17-Oct-18,ISTD,"Investissement, Sciences et Technologie",fr,20-Nov,horse
"RSO 201 : Une introduction au radar à synthèse d’ouverture, deuxième partie","Introduction au traitement des données RSO, à l’analyse et à l’apprentissage profond.",https://medium.com/the-downlinq/sar-201-an-introduction-to-synthetic-aperture-radar-part-2-895beb0b4c0a,,13-Feb-18,ISTD,"Investissement, Sciences et Technologie",fr,20-Nov,"cat, dog"
La géographie des réseaux de transfert de technologie interurbains en Chine,L'analyse de la structure spatiale des transferts de brevets entre villes entre 2008 et 2015 montre une intensification du transfert de technologies et de connaissances.,https://www.tandfonline.com/doi/full/10.1080/21681376.2019.1627905,,18-Feb-19,ISTD,"Investissement, Sciences et Technologie",fr,20-Nov,cat
Comparaison des signatures géospatiales temporelles des entreprises urbaines :,"Étude de l’influence des facteurs culturels et géophysiques sur les heures d’ouverture des entreprises, au moyen de données tirées de Facebook pour des commerces de détail et des restaurants partout dans le monde.",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1615069,,01-Jun-18,RSID,Commerce de détail et industries de service,fr,20-Nov,"cat, dog, horse"
Identification des régions des États-Unis les plus touchées sur le plan économique en raison de la COVID-19,"Au moyen d’analyses spatiales, des régions des États-Unis ont été examinées pour trouver les secteurs qui seraient les plus touchés sur le plan économique en raison de la COVID-19 et qui devraient être ciblés par des mesures d’aide.",https://medium.com/urbanfootprint/economic-impacts-of-covid-19-a-menacing-new-curve-rises-84d6c63f3c75,,09-Apr-19,RSID,Commerce de détail et industries de service,fr,20-Nov,cat
Utilisations des données en temps réel dans les villes intelligentes,"Survol des sources de données qui peuvent être utilisées par les technologies dans les villes intelligentes, des défis qui se posent lorsqu’on utilise ces données, et des nombreuses façons dont les villes intelligentes peuvent améliorer leur fonctionnement grâce à ces données.",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1673397 ,,23-Sep-19,TTD,Tourisme et Transport,fr,20-Nov,"cat, dog, horse"
Élargissement par l’Open Geospatial Consortium (OGC) de la portée de sa norme sur les entités mobiles pour permettre le codage JSON,"En juin 2020, l’OGC a élargi la portée de sa norme sur les entités mobiles pour permettre le codage des entités géographiques (p. ex. véhicules, avions, piétons, etc.) en format JSON plutôt que XML ou CSV.",https://www.ogc.org/pressroom/pressreleases/3217,,02-Jun-20,TTD,Tourisme et Transport,fr,20-Nov,horse
"Relations entre les hébergements Airbnb et le crime à Barcelone, en Espagne","Au moyen de multiples modèles spatiaux, la densité et le type des hébergements Airbnb ont été comparés avec les crimes à l’endroit des personnes et des biens dans la ville touristique de Barcelone, en Espagne.",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1831603,,16-Jun-20,TTD,Tourisme et Transport,fr,20-Nov,"cat, dog, horse"
"Évaluation des répercussions du tourisme sur l’environnement à Hainan, en Chine","Évaluation des répercussions environnementales de l’industrie touristique florissante à Hainan (Chine) de 2000 à 2019, au moyen du capteur MODIS utilisé en télédétection, de données sur la couverture terrestre et de données sur les points d’intérêt.",https://www.mdpi.com/2072-4292/12/17/2813,,04-Jun-20,TTD,Tourisme et Transport,fr,20-Nov,"cat, dog, horse"
Vers la géovisualisation axée sur le savoir grâce aux technologies du Web sémantique : approche par représentation du savoir jumelant ontologies et règles,Huang et Harrie (2020) proposent une approche axée sur le savoir pour lier sémantiquement les géovisualisations.,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2019.1604835?needAccess=true,,15-Apr-19,TECH,Ressources techniques,fr,20-Nov,horse
4 tendances qui feront vraisemblablement croître la demande pour la technologie de cartographie LiDAR à l’échelle mondiale,"Grandes lignes de l’accroissement de la demande pour la technologie LiDAR dans le domaine de la géomatique, notamment pour l’exploitation minière et la gestion.",https://www.geospatialworld.net/blogs/top-4-trends-likely-to-escalate-demand-for-lidar-in-mapping-solutions-worldwide/,,22-Oct-20,TECH,Ressources techniques,fr,20-Nov,"cat, dog"
Tout sur le système d’indexation géospatiale H3,"H3, créé par Uber, est un système d’indexation mondial qui utilise un système à grille hexagonale pour contrôler et visualiser des observations selon plusieurs échelles.",https://www.geospatialworld.net/article/unraveled-the-h3-geospatial-indexing-system/,,22-Oct-20,TECH,Ressources techniques,fr,20-Nov,cat
Balados sur PostGIS ,Vous voulez en savoir plus sur PostGIS? Écoutez ces podcasts dans lesquels Paul Ramsey (un développeur PostGIS) parle de l’utilisation de PostGIS pour gérer et visualiser des données géographiques sur des cartes Web!,http://blog.cleverelephant.ca/2020/10/podcasts.html?utm_source=dlvr.it&utm_medium=twitter,,12-Oct-20,TECH,Ressources techniques,fr,20-Nov,"cat, dog, horse"
